original_text,normalized_text
يا عزيزي، كويس إن انت سألتني السؤال دا، كنت محتاجك فعلًا.,يا عزيزي، كويس ان انت سالتني السوال دا، كنت محتاجك فعلًا.
"شكلك، يا عزيزي، نسيت مَن هُم بني ""تميم""،","شكلك، يا عزيزي، نسيت مَن هُم بني ""تميم""،"
افتكر، يا عزيزي...,افتكر، يا عزيزي
الحقيقة، يا عزيزي، إن بعض المصادر بتقول,الحقيقه، يا عزيزي، ان بعض المصادر بتقول
"إن ""تميم"" كانوا في اللحظة دي، في اللحظة دي تحديدًا،","ان ""تميم"" كانوا في اللحظه دي، في اللحظه دي تحديدًا،"
مضطرين إن هما يسرقوا القافلة،,مضطرين ان هما يسرقوا القافله،
كانوا محتاجين الأسلحة اللي فيها,كانوا محتاجين الاسلحه اللي فيها
"في حروبهم اللي ما بتخلصش مع جيرانهم في شبه الجزيرة ""بَكر بن وائل""،","في حروبهم اللي ما بتخلصش مع جيرانهم في شبه الجزيره ""بَكر بن وايل""،"
ولو، يا عزيزي، ما كانوش هما اللي نهبوا القافلة،,ولو، يا عزيزي، ما كانوش هما اللي نهبوا القافله،
"كان ممكن ""بَكر"" هي اللي تاخدها،","كان ممكن ""بَكر"" هي اللي تاخدها،"
"وتروح هي تحارب بني ""تميم"" بيها.","وتروح هي تحارب بني ""تميم"" بيها."
بنلاقي، يا عزيزي، في المصادر مكتوب...,بنلاقي، يا عزيزي، في المصادر مكتوب
"بمعنى، يا عزيزي، لمّا كانت القافلة في أرض ""تميم""،","بمعني، يا عزيزي، لمّا كانت القافله في ارض ""تميم""،"
"فاكر، يا عزيزي، ""الفرزدق""، اللي كان بيتفاخر بجدّه؟","فاكر، يا عزيزي، ""الفرزدق""، اللي كان بيتفاخر بجدّه؟"
أهو جدّه طلع حرامي قوافل،,اهو جدّه طلع حرامي قوافل،
"وهو اللي حرّض ""تميم"" على سرقة القافلة.","وهو اللي حرّض ""تميم"" علي سرقه القافله."
"المهم، ""تميم"" بتاخد القافلة ليها،","المهم، ""تميم"" بتاخد القافله ليها،"
"وبتقتل زعيم حراسها من قبيلة بني ""حنيفة""...","وبتقتل زعيم حراسها من قبيله بني ""حنيفه"""
"إيه، يا عزيزي، أهمية ""هوذة"" دا؟","ايه، يا عزيزي، اهميه ""هوذه"" دا؟"
"""هوذة"" بيُقال إن هو اللي افتدى نفسه من الأسر","""هوذه"" بيُقال ان هو اللي افتدي نفسه من الاسر"
بـ300 جمل مقابل حياته واللي فضلوا عايشين معاه من الأساورة.,ب300 جمل مقابل حياته واللي فضلوا عايشين معاه من الاساوره.
"بني ""تميم""، يا عزيزي، هيعملوا مصلحة زي الفُل من هذه السرقة،","بني ""تميم""، يا عزيزي، هيعملوا مصلحه زي الفُل من هذه السرقه،"
"تخيل، يا عزيزي، معاك قافلة فيها ""آر بي جيهات"" وطيارات F35، كل دا...","تخيل، يا عزيزي، معاك قافله فيها ""ار بي جيهات"" وطيارات 35، كل دا"
قافلة، يا عزيزي، محملة بالسلاح، ومعاهم 300 جمل،,قافله، يا عزيزي، محمله بالسلاح، ومعاهم 300 جمل،
ماشيين بكرداسة صغيرة.,ماشيين بكرداسه صغيره.
بس، يا عزيزي، دا ما كانش مكسبهم الوحيد،,بس، يا عزيزي، دا ما كانش مكسبهم الوحيد،
هما كسبوا حاجة أكبر بكتير من هذه الغنائم،,هما كسبوا حاجه اكبر بكتير من هذه الغنايم،
"- ""إيه يا (أبو حميد)؟"" - غضب كسرى، كسرى قفش!","- ""ايه يا ابو حميد ؟"" - غضب كسري، كسري قفش!"
"""هوذة بن علي الحنفي""، بعد ما افتدى نفسه ورجع لقبيلته،","""هوذه بن علي الحنفي""، بعد ما افتدي نفسه ورجع لقبيلته،"
الراجل، يا عزيزي، راح ململم الأساورة من الهجوم اللي حصل عليهم،,الراجل، يا عزيزي، راح ململم الاساوره من الهجوم اللي حصل عليهم،
وحط نفسه تحت إيد كسرى وقام قايلّه:,وحط نفسه تحت ايد كسري وقام قايلّه:
"""مولاي، الوضع زي ما انت شايف كدا،","""مولاي، الوضع زي ما انت شايف كدا،"
أنا خذلتك، وما عرفتش أحمي القافلة،,انا خذلتك، وما عرفتش احمي القافله،
"أنا بأسلّملك نفسي وقابل أي عقوبة منك.""","انا باسلّملك نفسي وقابل اي عقوبه منك."""
وعلى عكس، يا عزيزي، المتوقع،,وعلي عكس، يا عزيزي، المتوقع،
كسرى أكرم الراجل واعتبره راجل شجاع،,كسري اكرم الراجل واعتبره راجل شجاع،
وشكره إنه أنقذ المتبقين من الأساورة.,وشكره انه انقذ المتبقين من الاساوره.
وهوبا، يا عزيزي، الابتسامة راحت من على وشك كسرى، وسأله سؤال واحد:,وهوبا، يا عزيزي، الابتسامه راحت من علي وشك كسري، وساله سوال واحد:
"""مين بقى القبيلة الحلوة اللطيفة اللي سرقتنا دي؟""","""مين بقي القبيله الحلوه اللطيفه اللي سرقتنا دي؟"""
"""هوذة""، يا عزيزي، ما اترددش، وقام قايلّه: ""(تميم).""","""هوذه""، يا عزيزي، ما اترددش، وقام قايلّه: "" تميم ."""
"""طب يا رجالة، علاقتكم عاملة ازاي مع (تميم) دُول؟""","""طب يا رجاله، علاقتكم عامله ازاي مع تميم دُول؟"""
"""هوذة"" قام قايلّه...","""هوذه"" قام قايلّه"
هنا، يا عزيزي، كسرى عينيه لمعت،,هنا، يا عزيزي، كسري عينيه لمعت،
"وقام قايل لـ""هوذة"": ""عدونا مشترك. جاية منك بحرب.""","وقام قايل ل""هوذه"": ""عدونا مشترك. جايه منك بحرب."""
"وهكذا، ""هوذة"" بيتفق هو وكسرى على إيقاع بني ""تميم"".","وهكذا، ""هوذه"" بيتفق هو وكسري علي ايقاع بني ""تميم""."
والحقيقة إن هما بالفعل حطوا خطة ذكية،,والحقيقه ان هما بالفعل حطوا خطه ذكيه،
"أراضي بني ""تميم""، اللي موجودة في شرق الجزيرة","اراضي بني ""تميم""، اللي موجوده في شرق الجزيره"
"قريبة جدًا من منطقة ""البحرين"" و""الأحساء""،","قريبه جدًا من منطقه ""البحرين"" و""الاحساء""،"
دي المنطقة اللي كان للفُرس نفوذ فيها قوي الفترة دي،,دي المنطقه اللي كان للفُرس نفوذ فيها قوي الفتره دي،
"و""تميم"" كانت بتعتمد على أسواق ""هَجَر"" و""البحرين"" و""الأحساء""،","و""تميم"" كانت بتعتمد علي اسواق ""هَجَر"" و""البحرين"" و""الاحساء""،"
بتقعد تبضّع من هناك، تعمل Shopping، وبعد كدا، ترجع لمكانها.,بتقعد تبضّع من هناك، تعمل ، وبعد كدا، ترجع لمكانها.
"كسرى و""هوذة"" اتفقوا مع بعض اتفاق،","كسري و""هوذه"" اتفقوا مع بعض اتفاق،"
"""احنا هنمنع ما يُعرف بالـ(ميرة)،","""احنا هنمنع ما يُعرف بال ميره ،"
الواردات الفارسية اللي جاية لـ(البحرين) و(الأحساء)،,الواردات الفارسيه اللي جايه ل البحرين و الاحساء ،
احنا هنقطع أمها!,احنا هنقطع امها!
احنا هنعطّش السوق، وبالتالي، نجوّع بني (تميم)،,احنا هنعطّش السوق، وبالتالي، نجوّع بني تميم ،
هنحرمهم من احتياجاتهم من القمح والحبوب.,هنحرمهم من احتياجاتهم من القمح والحبوب.
ما فيش كربوهيدرات، بنو (تميم) هيبقوا Keto!,ما فيش كربوهيدرات، بنو تميم هيبقوا !
"حرمان مؤقت لمدة سنة.""","حرمان موقت لمده سنه."""
المهم، يا عزيزي، دا اللي بيحصل،,المهم، يا عزيزي، دا اللي بيحصل،
"وبعد سنة، بيتفتح تاني باب ""الميرة"" اللي كان مقفول،","وبعد سنه، بيتفتح تاني باب ""الميره"" اللي كان مقفول،"
"ويروح المنادي ينادي في بني ""تميم"" ويبشرّهم:","ويروح المنادي ينادي في بني ""تميم"" ويبشرّهم:"
"""الملك كسرى الكريم أرسل لكم الـ(ميرة) الجديدة،","""الملك كسري الكريم ارسل لكم ال ميره الجديده،"
لأنه عارف إن رعاياه، عرب شرق الجزيرة، في أمسّ الحاجة لهذه البضائع.,لانه عارف ان رعاياه، عرب شرق الجزيره، في امسّ الحاجه لهذه البضايع.
مش بس كدا، الـ(ميرة) هتتوزع مجانًا على بني (تميم)،,مش بس كدا، ال ميره هتتوزع مجانًا علي بني تميم ،
"هنوزعها عليهم في حصن (المُشقّر).""","هنوزعها عليهم في حصن المُشقّر ."""
"ودا، يا عزيزي، حصن تاريخي موجود لحد دلوقتي في شرق ""السعودية"".","ودا، يا عزيزي، حصن تاريخي موجود لحد دلوقتي في شرق ""السعوديه""."
وتحت ضغط الاحتياج والحرمان،,وتحت ضغط الاحتياج والحرمان،
"اندفع بني ""تميم"" فرادى وجماعات إلى حصن ""المُشقّر""،","اندفع بني ""تميم"" فرادي وجماعات الي حصن ""المُشقّر""،"
طوابير من المنكوبين،,طوابير من المنكوبين،
اللي بييجي عليه الدور، بيسيب سلاحه على الباب،,اللي بييجي عليه الدور، بيسيب سلاحه علي الباب،
يدخل من باب الحصن، ويستلم نصيبه.,يدخل من باب الحصن، ويستلم نصيبه.
"وسط الطوابير، كان واقف واحد من بني ""تميم""،","وسط الطوابير، كان واقف واحد من بني ""تميم""،"
"واحد، يا عزيزي، اسمه ""عُبَيد بن وهب""،","واحد، يا عزيزي، اسمه ""عُبَيد بن وهب""،"
الراجل دا لاحظ حاجة غريبة جدًا،,الراجل دا لاحظ حاجه غريبه جدًا،
"""احنا ليه، يا جماعة، بنخش واحد واحد؟!","""احنا ليه، يا جماعه، بنخش واحد واحد"
باب الحصن دا، يا بيه، يساع اتنينات وتلاتات!,باب الحصن دا، يا بيه، يساع اتنينات وتلاتات!
كمان، أنا ملاحظ حاجة أغرب،,كمان، انا ملاحظ حاجه اغرب،
هو اللي بيدخل الحصن دا، ما بيطلعش،,هو اللي بيدخل الحصن دا، ما بيطلعش،
"فهل هناك باب خروج تاني، زي السينما كدا؟!""","فهل هناك باب خروج تاني، زي السينما كدا """
"وهنا، عمك ""عُبيد""، يا عزيزي، الفار بدأ يتلاعب في أعبائه،","وهنا، عمك ""عُبيد""، يا عزيزي، الفار بدا يتلاعب في اعبايه،"
"جمع ""عِب"" للناس اللي بتفهم عربي يعني!","جمع ""عِب"" للناس اللي بتفهم عربي يعني!"
"بنقرا في كتاب ""أيام العرب في الجاهلية""","بنقرا في كتاب ""ايام العرب في الجاهليه"""
"إن ""(عُبَيد) تناول سيفًا، وضرب سلسلة على باب (المُشقّر)،","ان "" عُبَيد تناول سيفًا، وضرب سلسله علي باب المُشقّر ،"
فقطعها وقطع يد رجُل كان واقفًا بجانبها،,فقطعها وقطع يد رجُل كان واقفًا بجانبها،
"فانفتح الباب، وإذا بالناس يُقتلون.""","فانفتح الباب، واذا بالناس يُقتلون."""
"بنو ""تميم""، يا عزيزي، كانوا بيُبادوا في مذبحة صامتة!","بنو ""تميم""، يا عزيزي، كانوا بيُبادوا في مذبحه صامته!"
"اليوم دا، يا عزيزي، اتعرف بيوم ""الصفقة""","اليوم دا، يا عزيزي، اتعرف بيوم ""الصفقه"""
اتقتل فيها الآلاف،,اتقتل فيها الالاف،
"لدرجة إن ""هوذة بن علي""، اللي دبّر المذبحة مع كسرى،","لدرجه ان ""هوذه بن علي""، اللي دبّر المذبحه مع كسري،"
"أشفق على بني ""تميم"" واتوسّط عند الفُرس","اشفق علي بني ""تميم"" واتوسّط عند الفُرس"
إن هما يأذنوله ينقّي 100 واحد بس يعفي عنهم،,ان هما ياذنوله ينقّي 100 واحد بس يعفي عنهم،
"""يا جماعة، انتم بتخلّصوا القبيلة كلها، ما فاضلش غير (تميم) وأخوه!""","""يا جماعه، انتم بتخلّصوا القبيله كلها، ما فاضلش غير تميم واخوه!"""
"وتقريبًا، يا عزيزي، الـ100 دُول هما اللي فضلوا بس من رجالة ""تميم"".","وتقريبًا، يا عزيزي، ال100 دُول هما اللي فضلوا بس من رجاله ""تميم""."
"""ياه يا (أبو حميد)! أنا رجالة (تميم) صعبوا عليا أوي!","""ياه يا ابو حميد ! انا رجاله تميم صعبوا عليا اوي!"
يعني، يا جماعة، عشان سرقوكم ونهبوكم وأسروا رجالتكم وقتلوا فيكم،,يعني، يا جماعه، عشان سرقوكم ونهبوكم واسروا رجالتكم وقتلوا فيكم،
خلاص تفتروا عليهم كدا؟!,خلاص تفتروا عليهم كدا
العيال ريقها جري على الـ300 جمل، خلاص، ندبحهم؟!,العيال ريقها جري علي ال300 جمل، خلاص، ندبحهم
احكيلي يا (أبو حميد) لماذا كل هذا الدم؟,احكيلي يا ابو حميد لماذا كل هذا الدم؟
مش كان الفُرس بس يقبضوا على اللي سرقوا القافلة وخلاص،,مش كان الفُرس بس يقبضوا علي اللي سرقوا القافله وخلاص،
"بدل كدا ما يروحوا يبيدوا القبيلة بالكامل؟!""","بدل كدا ما يروحوا يبيدوا القبيله بالكامل """
"والله، يا عزيزي، يوم ""الصفقة"" دا ممكن يكون واحد من الاحتكاكات القديمة","والله، يا عزيزي، يوم ""الصفقه"" دا ممكن يكون واحد من الاحتكاكات القديمه"
اللي بين العرب والفُرس،,اللي بين العرب والفُرس،
ولكنه بالتأكيد مش أول احتكاك بينهم،,ولكنه بالتاكيد مش اول احتكاك بينهم،
وحشية اليوم دا سببها إن هناك تراكم كبير من صراعات العرب والفُرس،,وحشيه اليوم دا سببها ان هناك تراكم كبير من صراعات العرب والفُرس،
تاريخ طويل وشديد الدموية،,تاريخ طويل وشديد الدمويه،
كل طرف شايل في قلبه وساكت للتاني،,كل طرف شايل في قلبه وساكت للتاني،
هناك الكثير من الـResentment بين الأطراف،,هناك الكثير من ال بين الاطراف،
وعشان كدا، كان لازم ييجي وقت وكل هذه التراكمات تنفجر.,وعشان كدا، كان لازم ييجي وقت وكل هذه التراكمات تنفجر.
علاقة الجيرة بين العرب والفُرس أقدم بكتير من القرن السادس الميلادي،,علاقه الجيره بين العرب والفُرس اقدم بكتير من القرن السادس الميلادي،
أقدم بقرون طويلة،,اقدم بقرون طويله،
الجيرة اللي بينهم كان بيغلب عليها صيغة واحدة بس،,الجيره اللي بينهم كان بيغلب عليها صيغه واحده بس،
ناحية فيها إمبراطوريات فارسية كبيرة،,ناحيه فيها امبراطوريات فارسيه كبيره،
إمبراطوريات متطورة ومتمدنة،,امبراطوريات متطوره ومتمدنه،
الإخمينيين والبارثيين والساسانيين،,الاخمينيين والبارثيين والساسانيين،
شعوب ليها حضارة عريقة ومستقرة،,شعوب ليها حضاره عريقه ومستقره،
شعوب، يا عزيزي، كان عندها جيوش قوية خاضعة لنظام حُكم إمبراطوري،,شعوب، يا عزيزي، كان عندها جيوش قويه خاضعه لنظام حُكم امبراطوري،
الفُرس كانت كتلة محكومة بإمبراطور بيورّثها للي بعده.,الفُرس كانت كتله محكومه بامبراطور بيورّثها للي بعده.
تروح بقى، يا عزيزي، تبص الناحية التانية، ناحية العرب،,تروح بقي، يا عزيزي، تبص الناحيه التانيه، ناحيه العرب،
تلاقي ما حدش طايق أخوه،,تلاقي ما حدش طايق اخوه،
قبائل عربية متناحرة ومتنتوَرة في وسط وشمال الجزيرة.,قبايل عربيه متناحره ومتنتوَره في وسط وشمال الجزيره.
الجيرة بين القبائل العربية والفُرس كانت عبارة عن غارات،,الجيره بين القبايل العربيه والفُرس كانت عباره عن غارات،
علاقة غارات، غارات من العرب على الفُرس،,علاقه غارات، غارات من العرب علي الفُرس،
مقابل محاولات من الفُرس إنها تصد الهجمات الحدودية الخاطفة دي.,مقابل محاولات من الفُرس انها تصد الهجمات الحدوديه الخاطفه دي.
"""طب يا (أبو حميد) ليه الفُرس ما كانوش يروحوا يحتلوهم؟""","""طب يا ابو حميد ليه الفُرس ما كانوش يروحوا يحتلوهم؟"""
الفكرة، يا عزيزي، الفُرس كان صعب إن هما يطاردوا,الفكره، يا عزيزي، الفُرس كان صعب ان هما يطاردوا
هذه القبائل المتشتتة وسط الصحرا،,هذه القبايل المتشتته وسط الصحرا،
اللي هيدخل الصحرا، هيموت عطشان!,اللي هيدخل الصحرا، هيموت عطشان!
ما حدش هيعرف يعيش ويحارب في الصحرا غير أهلها،,ما حدش هيعرف يعيش ويحارب في الصحرا غير اهلها،
وفي الحالة دي، كانوا العرب.,وفي الحاله دي، كانوا العرب.
عشان كدا، الفُرس بدل ما يلعبوها حرب،,عشان كدا، الفُرس بدل ما يلعبوها حرب،
راحوا لاعبينها سياسة،,راحوا لاعبينها سياسه،
الحرب بالوكالة، War by Proxy،,الحرب بالوكاله، ،
"""أنا ليه أحارب بدل ما حد تاني ممكن يحارب بدالي؟","""انا ليه احارب بدل ما حد تاني ممكن يحارب بدالي؟"
أنا ليه أدفع فلوس وأخسر أرواح؟,انا ليه ادفع فلوس واخسر ارواح؟
"ما فيه ناس تانية بأيديولوجيات مختلفة يعملولي هذه التضحيات.""","ما فيه ناس تانيه بايديولوجيات مختلفه يعملولي هذه التضحيات."""
وهنا، يا عزيزي، الفُرس بيقرروا إن هما يستخدموا العرب في محاربة العرب.,وهنا، يا عزيزي، الفُرس بيقرروا ان هما يستخدموا العرب في محاربه العرب.
"""ياه يا (أبو حميد)! فاضل بس كسرى يموتله 9 علماء نووين.""","""ياه يا ابو حميد ! فاضل بس كسري يموتله 9 علماء نووين."""
"الفُرس أسسوا دولة اسمها دولة ""المناذرة"" في ""الحيرة""،","الفُرس اسسوا دوله اسمها دوله ""المناذره"" في ""الحيره""،"
كـ، يا عزيزي، ما يسمى في عالم الحروب بالـBuffer State،,ك، يا عزيزي، ما يسمي في عالم الحروب بال ،
"زي كدا، يا عزيزي، ""أوكرانيا"" بالنسبة لـ""أوروبا""،","زي كدا، يا عزيزي، ""اوكرانيا"" بالنسبه ل""اوروبا""،"
"وزي دوَل ""البلطيق"" بالنسبة لـ""روسيا""،","وزي دوَل ""البلطيق"" بالنسبه ل""روسيا""،"
دي، يا عزيزي، عادةً بتبقى دوَل صغيرة,دي، يا عزيزي، عادهً بتبقي دوَل صغيره
بتفصل، يا حبيبة قلبي، بين قوّتين كبار بينهم مشاكل،,بتفصل، يا حبيبه قلبي، بين قوّتين كبار بينهم مشاكل،
أو احتمال يحصل بينهم مشاكل،,او احتمال يحصل بينهم مشاكل،
ما فيش دولة كبيرة عايزة دولة كبيرة تبقى على حدودها.,ما فيش دوله كبيره عايزه دوله كبيره تبقي علي حدودها.
"بلغة البلدي، يا عزيزي، والملاعب، دولة ""شنكار""، بتمنع إصابات الرُكبة!","بلغه البلدي، يا عزيزي، والملاعب، دوله ""شنكار""، بتمنع اصابات الرُكبه!"
"هناك برضه، يا عزيزي، مصطلح شائع، ""الدولة الوسادة""،","هناك برضه، يا عزيزي، مصطلح شايع، ""الدوله الوساده""،"
دي، يا عزيزي، دولة بتمتص الصدمات!,دي، يا عزيزي، دوله بتمتص الصدمات!
عشان لو فيه دولة على الحدود حكّت فيك،,عشان لو فيه دوله علي الحدود حكّت فيك،
تفضل الإمبراطورية فابريكا، ما تحكّش في صاج الدولة!,تفضل الامبراطوريه فابريكا، ما تحكّش في صاج الدوله!
إلا صاج الدولة!,الا صاج الدوله!
ودا، يا عزيزي، بالفعل اللي حصل في النُص التاني من القرن التالت،,ودا، يا عزيزي، بالفعل اللي حصل في النُص التاني من القرن التالت،
في عهد تالت إمبراطورية فارسية،,في عهد تالت امبراطوريه فارسيه،
اللي هي الإمبراطورية الساسانية،,اللي هي الامبراطوريه الساسانيه،
"اتأسست دولة المناذرة في ""الحيرة""،","اتاسست دوله المناذره في ""الحيره""،"
وزي ما قُلتلك، هي لعبت دور الإكصدام أو الدولة العازلة بشكل عبقري،,وزي ما قُلتلك، هي لعبت دور الاكصدام او الدوله العازله بشكل عبقري،
دي عزلت الإمبراطورية الفارسية عن قوتين مهمين جدًا في هذا الوقت،,دي عزلت الامبراطوريه الفارسيه عن قوتين مهمين جدًا في هذا الوقت،
"من ناحية، الدولة البيزنطية اللي موجودة في ""الشام"" و""الأناضول""،","من ناحيه، الدوله البيزنطيه اللي موجوده في ""الشام"" و""الاناضول""،"
والقبائل العربية اللي موجودة في شبه الجزيرة،,والقبايل العربيه اللي موجوده في شبه الجزيره،
الوضع دا، يا عزيزي، هيخلّي الفُرس في هذا الوقت حاطين إيديهم على العرب،,الوضع دا، يا عزيزي، هيخلّي الفُرس في هذا الوقت حاطين ايديهم علي العرب،
لأن القبائل العربية نفسها,لان القبايل العربيه نفسها
بقت بتبجّل مَلِك المناذرة العرب،,بقت بتبجّل مَلِك المناذره العرب،
"وبقت بتبص لـ""الحيرة"" كحضارة عربية كبرى،","وبقت بتبص ل""الحيره"" كحضاره عربيه كبري،"
والمحظوظ من العرب، يا عزيزي، هو اللي يعرف يخرج من الصحرا,والمحظوظ من العرب، يا عزيزي، هو اللي يعرف يخرج من الصحرا
"ويزور ""الحيرة"" ويشوف جمال ""الحيرة"".","ويزور ""الحيره"" ويشوف جمال ""الحيره""."
تاني، يا عزيزي، دي دولة وسادة للفُرس،,تاني، يا عزيزي، دي دوله وساده للفُرس،
فتخيل لمّا الدولة الوسادة تبقى مرتبة!,فتخيل لمّا الدوله الوساده تبقي مرتبه!
العربي، يا عزيزي، كان يبقى جاي من بيئته القاسية،,العربي، يا عزيزي، كان يبقي جاي من بييته القاسيه،
"يقوم داخل على المناذرة كأنه داخل ""الجونة""،","يقوم داخل علي المناذره كانه داخل ""الجونه""،"
هيشوف الأسواق والطرُق والمحلات،,هيشوف الاسواق والطرُق والمحلات،
"و""سميح ساويرس"" راكب توك توك كهربا، ما تفهمش ""تسلا"" دا ولّا معمول فين!","و""سميح ساويرس"" راكب توك توك كهربا، ما تفهمش ""تسلا"" دا ولّا معمول فين!"
"و""تامر حبيب"" داخل يضحك،","و""تامر حبيب"" داخل يضحك،"
عيشة بقى!,عيشه بقي!
كله كوم، يا عزيزي، والقصور كوم تاني خالص،,كله كوم، يا عزيزي، والقصور كوم تاني خالص،
"قصور زي ""الخورنق"" و""السدير""،","قصور زي ""الخورنق"" و""السدير""،"
العرب كانوا بيعتبروا القصور دي أعجوبة هذا العصر،,العرب كانوا بيعتبروا القصور دي اعجوبه هذا العصر،
لدرجة، يا عزيزي، إن مجرد الوصول ليهم كان حلم يشبه تهيؤات السكارى،,لدرجه، يا عزيزي، ان مجرد الوصول ليهم كان حلم يشبه تهيوات السكاري،
"الشاعر الجاهلي ""المُنَخّل اليَشكُري"" بيقول...","الشاعر الجاهلي ""المُنَخّل اليَشكُري"" بيقول"
"يعني، ""أنا لو شربت شوية، ودماغي سرحت منّي وراحت منّي،","يعني، ""انا لو شربت شويه، ودماغي سرحت منّي وراحت منّي،"
فأنا بأشوف نفسي صاحب القصرين دُول,فانا باشوف نفسي صاحب القصرين دُول
"لكن لو أنا صحيت، فُقت، الدماغ راحت خلاص، ما حيلتيش غير البعير!""","لكن لو انا صحيت، فُقت، الدماغ راحت خلاص، ما حيلتيش غير البعير!"""
"عارف بقى، يا عزيزي، إن هذا المَلِك العربي، اللي بيحكم ""الحيرة""،","عارف بقي، يا عزيزي، ان هذا المَلِك العربي، اللي بيحكم ""الحيره""،"
والعرب بيعتبروه عم الناس،,والعرب بيعتبروه عم الناس،
واللي جه عمل نقلة نوعية في المنطقة،,واللي جه عمل نقله نوعيه في المنطقه،
بيظهر، يا عزيزي، عند العرب كمَلِك عنده هيبة،,بيظهر، يا عزيزي، عند العرب كمَلِك عنده هيبه،
أول بقى ما يروح لكسرى،,اول بقي ما يروح لكسري،
موظف عايز أجازة، موظف ممكن يتخصمله،,موظف عايز اجازه، موظف ممكن يتخصمله،
"""راجل احنا جايبينه ومعيّنينه على (الحيرة)،","""راجل احنا جايبينه ومعيّنينه علي الحيره ،"
"عايزين نمشّيه بُكرة الصبح، هنمشّيه.""","عايزين نمشّيه بُكره الصبح، هنمشّيه."""
كسرى كان بيستخدمه في الأساس عشان يروض العرب.,كسري كان بيستخدمه في الاساس عشان يروض العرب.
"الفُرس من خلال ""الحيرة"" نجحوا في إنهم يفرضوا كلمتهم","الفُرس من خلال ""الحيره"" نجحوا في انهم يفرضوا كلمتهم"
على أغلب شرق وشمال الجزيرة العربية،,علي اغلب شرق وشمال الجزيره العربيه،
"ودا، يا عزيزي، بيفسرلك ليه كسرى ""أنو شروان""","ودا، يا عزيزي، بيفسرلك ليه كسري ""انو شروان"""
"حاول إن هو يفني ويقضي على بني ""تميم""،","حاول ان هو يفني ويقضي علي بني ""تميم""،"
دا ما كانش شايفهم أُمّة تانية،,دا ما كانش شايفهم اُمّه تانيه،
لأ، كان شايفهم مجرد رعايا،,لا، كان شايفهم مجرد رعايا،
شوية متمردين تخطوا حدودهم على أسيادهم من الفُرس.,شويه متمردين تخطوا حدودهم علي اسيادهم من الفُرس.
"وبعد حقبة آل ""شروان"" بـ70 سنة،","وبعد حقبه ال ""شروان"" ب70 سنه،"
"الإمبراطورية الساسانية جالها كسرى جديد اسمه ""سابور بن هُرمز""،","الامبراطوريه الساسانيه جالها كسري جديد اسمه ""سابور بن هُرمز""،"
"""هُرمز""، يا عزيزي، ما كانش عنده ولاد،","""هُرمز""، يا عزيزي، ما كانش عنده ولاد،"
بس مراته لمّا مات، كانت حامل،,بس مراته لمّا مات، كانت حامل،
فكان موصّي بالمُلك لابن مراته الحامل،,فكان موصّي بالمُلك لابن مراته الحامل،
"اللي هو مين ""مستر (سابور)"".","اللي هو مين ""مستر سابور ""."
فاللي حصل، يا عزيزي، الناس بتشوف ولي العهد فين،,فاللي حصل، يا عزيزي، الناس بتشوف ولي العهد فين،
ولي العهد في بطن أمه،,ولي العهد في بطن امه،
فبيعملوا إيه؟ بيحطوا التاج على بطنها.,فبيعملوا ايه؟ بيحطوا التاج علي بطنها.
بصراحة، التاج مش أريح حاجة!,بصراحه، التاج مش اريح حاجه!
ممكن رنجة؟ بأتوحّم!,ممكن رنجه؟ باتوحّم!
"عشان، يا عزيزي، ""سابور"" يتولد مَلِك.","عشان، يا عزيزي، ""سابور"" يتولد مَلِك."
"العرب هنا، يا عزيزي، بيفكروا: ""إيه دا؟! دي حاجة ممتازة،","العرب هنا، يا عزيزي، بيفكروا: ""ايه دا دي حاجه ممتازه،"
الملك جاي من السونار، لسة حتى ما سننش!,الملك جاي من السونار، لسه حتي ما سننش!
المَلِك لسة قُدّامه كام سنة ويسنن،,المَلِك لسه قُدّامه كام سنه ويسنن،
"هنا، الإمبراطورية الفارسية ليست في أحسن أوضاعها.""","هنا، الامبراطوريه الفارسيه ليست في احسن اوضاعها."""
"بدأ العرب يهاجروا لجنوب ""فارس"" ويزاحموا الفُرس.","بدا العرب يهاجروا لجنوب ""فارس"" ويزاحموا الفُرس."
"""الطبري"" بيقول على الحدث دا:","""الطبري"" بيقول علي الحدث دا:"
"""سار جمعٌ عظيم منهم في البحر","""سار جمعٌ عظيم منهم في البحر"
"من ناحية بلاد (عبد القيس) و(البحرين) و(كاظمة).""","من ناحيه بلاد عبد القيس و البحرين و كاظمه ."""
"بيقول، يا عزيزي، ""الطبري"" إن هما هاجروا بأعداد عظيمة،","بيقول، يا عزيزي، ""الطبري"" ان هما هاجروا باعداد عظيمه،"
وكمان، بيقول إن العرب لمّا راحوا للفُرس,وكمان، بيقول ان العرب لمّا راحوا للفُرس
غلبوا أهلها على مواشيهم وحروثهم ومعايشهم،,غلبوا اهلها علي مواشيهم وحروثهم ومعايشهم،
يعني، بالبلدي كدا، ما سابوش حاجة تتاكل عندهم، إلا وكلوها.,يعني، بالبلدي كدا، ما سابوش حاجه تتاكل عندهم، الا وكلوها.
فضل، يا عزيزي، الوضع دا مكمّل 16 سنة،,فضل، يا عزيزي، الوضع دا مكمّل 16 سنه،
العرب قعدوا يتغذوا كدا على ممتلكات الفُرس،,العرب قعدوا يتغذوا كدا علي ممتلكات الفُرس،
